GO.ID,Term,Annotated,Significant,Expected,raw.p.value,sig
GO:0010556,regulation of macromolecule biosynthetic process,12,7,7.04,0.3927,no
GO:0031326,regulation of cellular biosynthetic process,12,7,7.04,0.3927,no
GO:0006261,DNA-templated DNA replication,6,5,3.52,0.3997,no
GO:0006270,DNA replication initiation,6,5,3.52,0.3997,no
GO:0006950,response to stress,7,5,4.11,0.4177,no
GO:0033554,cellular response to stress,7,5,4.11,0.4177,no
GO:0009892,negative regulation of metabolic process,13,7,7.62,0.4215,no
GO:0010605,negative regulation of macromolecule metabolic process,13,7,7.62,0.4215,no
GO:0048519,negative regulation of biological process,13,7,7.62,0.4215,no
GO:0051172,negative regulation of nitrogen compound metabolic process,13,7,7.62,0.4215,no
GO:0051248,negative regulation of protein metabolic process,13,7,7.62,0.4215,no
GO:0018130,heterocycle biosynthetic process,13,8,7.62,0.4687,no
GO:0019438,aromatic compound biosynthetic process,13,8,7.62,0.4687,no
GO:0034654,nucleobase-containing compound biosynthetic process,13,8,7.62,0.4687,no
GO:1901362,organic cyclic compound biosynthetic process,13,8,7.62,0.4687,no
GO:1901566,organonitrogen compound biosynthetic process,20,11,11.73,0.5073,no
GO:1901564,organonitrogen compound metabolic process,45,23,26.39,0.5532,no
GO:0006457,protein folding,5,1,2.93,0.5674,no
GO:0019637,organophosphate metabolic process,5,3,2.93,0.6121,no
GO:0044249,cellular biosynthetic process,34,20,19.94,0.7213,no
GO:1901576,organic substance biosynthetic process,34,20,19.94,0.7213,no
GO:0009058,biosynthetic process,35,20,20.53,0.7781,no
GO:0016053,organic acid biosynthetic process,5,1,2.93,0.7861,no
GO:0044283,small molecule biosynthetic process,5,1,2.93,0.7861,no
GO:0046394,carboxylic acid biosynthetic process,5,1,2.93,0.7861,no
GO:0008152,metabolic process,101,60,59.23,0.7945,no
GO:0006082,organic acid metabolic process,8,3,4.69,0.8465,no
GO:0019752,carboxylic acid metabolic process,8,3,4.69,0.8465,no
GO:0043436,oxoacid metabolic process,8,3,4.69,0.8465,no
GO:0051179,localization,19,10,11.14,0.8578,no
GO:0006520,cellular amino acid metabolic process,6,2,3.52,0.8721,no
GO:0033036,macromolecule localization,9,4,5.28,0.8771,no
GO:0008104,protein localization,8,3,4.69,0.8863,no
GO:0051641,cellular localization,8,3,4.69,0.8863,no
GO:0070727,cellular macromolecule localization,8,3,4.69,0.8863,no
GO:0071702,organic substance transport,8,3,4.69,0.8863,no
GO:0071705,nitrogen compound transport,8,3,4.69,0.8863,no
GO:0006810,transport,18,9,10.56,0.8905,no
GO:0051234,establishment of localization,18,9,10.56,0.8905,no
GO:0006886,intracellular protein transport,7,2,4.11,0.8987,no
GO:0015031,protein transport,7,2,4.11,0.8987,no
GO:0045184,establishment of protein localization,7,2,4.11,0.8987,no
GO:0046907,intracellular transport,7,2,4.11,0.8987,no
GO:0051649,establishment of localization in cell,7,2,4.11,0.8987,no
GO:0009056,catabolic process,5,1,2.93,0.9835,no
GO:0009057,macromolecule catabolic process,5,1,2.93,0.9835,no
GO:1901575,organic substance catabolic process,5,1,2.93,0.9835,no
GO:0044281,small molecule metabolic process,12,4,7.04,0.9911,no
GO:0006793,phosphorus metabolic process,8,3,4.69,0.9916,no
GO:0006796,phosphate-containing compound metabolic process,8,3,4.69,0.9916,no
GO:0008150,biological_process,133,78,78,1,no
GO:0043687,post-translational protein modification,5,1,2.93,1,no
